broad_cat,sub_cat1,link
Fruits & Vegetables,Fruits,https://shop.bigbazaar.com/catalog/category/Other-Fruits-1251
Fruits & Vegetables,Fruits,https://shop.bigbazaar.com/catalog/category/Apples-1245
Fruits & Vegetables,Fruits,https://shop.bigbazaar.com/catalog/category/Mangoes-1250
Fruits & Vegetables,Fruits,https://shop.bigbazaar.com/catalog/category/Melons-1246
Fruits & Vegetables,Fruits,https://shop.bigbazaar.com/catalog/category/Citrus-Fruits-1357
Fruits & Vegetables,Fruits,https://shop.bigbazaar.com/catalog/category/Kiwi-1248
Fruits & Vegetables,Fruits,https://shop.bigbazaar.com/catalog/category/Bananas-1249
Fruits & Vegetables,Fruits,https://shop.bigbazaar.com/catalog/category/Exotic-Fruits-1043
Fruits & Vegetables,Vegetables,https://shop.bigbazaar.com/catalog/category/Other-Vegetables-1261
Fruits & Vegetables,Vegetables,https://shop.bigbazaar.com/catalog/category/Green-Vegetables-1255
Fruits & Vegetables,Vegetables,"https://shop.bigbazaar.com/catalog/category/Onion,-Potato-&-Tomato-463"
Fruits & Vegetables,Vegetables,https://shop.bigbazaar.com/catalog/category/Leafy-Vegetables-455
Fruits & Vegetables,Vegetables,https://shop.bigbazaar.com/catalog/category/Exotic-Vegetables-1045
Fruits & Vegetables,Cuts and Sprouts,https://shop.bigbazaar.com/catalog/category/Sprouts-1268
Fruits & Vegetables,Cuts and Sprouts,https://shop.bigbazaar.com/catalog/category/Cut-Vegetables-1266
Fruits & Vegetables,Cuts and Sprouts,https://shop.bigbazaar.com/catalog/category/Exotic-1723
Fruits & Vegetables,Cuts and Sprouts,https://shop.bigbazaar.com/catalog/category/Processed-Vegetables-1724
"Bakery, Dairy & Frozen",Dairy,https://shop.bigbazaar.com/catalog/category/Butter--607
"Bakery, Dairy & Frozen",Dairy,https://shop.bigbazaar.com/catalog/category/Cheese-1400
"Bakery, Dairy & Frozen",Dairy,https://shop.bigbazaar.com/catalog/category/Milk-609
"Bakery, Dairy & Frozen",Dairy,https://shop.bigbazaar.com/catalog/category/Other-Dairy-Products-605
"Bakery, Dairy & Frozen",Dairy,https://shop.bigbazaar.com/catalog/category/Dahi-&-Yoghurt-603
"Bakery, Dairy & Frozen",Dairy,https://shop.bigbazaar.com/catalog/category/Paneer-&-Tofu-601
"Bakery, Dairy & Frozen",Dairy,https://shop.bigbazaar.com/catalog/category/Dairy-Based-Drinks-599
"Bakery, Dairy & Frozen",Dairy,https://shop.bigbazaar.com/catalog/category/Milk-Substitutes-595
"Bakery, Dairy & Frozen",Dairy,https://shop.bigbazaar.com/catalog/category/Ice-Creams-&-Frozen-Desserts-1014
"Bakery, Dairy & Frozen",Frozen Foods,https://shop.bigbazaar.com/catalog/category/Frozen-Fruits-&-Vegetables-1361
"Bakery, Dairy & Frozen",Frozen Foods,https://shop.bigbazaar.com/catalog/category/French-Fries-1360
"Bakery, Dairy & Frozen",Frozen Foods,https://shop.bigbazaar.com/catalog/category/Frozen-Veg-Snacks-1359
