job_title,job_link,date_posted,employer,salary,location,job_type,whole_body
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/43851435?source=searchResults&filter=%2fjobs%2fdata-analyst-jobs,2021-08-31,Percepta UK Limited,Competitive salary,East Midlands,FULL_TIME,"position summary the data analyst is responsible for supporting the database and data storage systems, ensuring the smooth flow of business-critical data from the multiple sites operated by the academy. the data analyst will become familiar with the globally unique training system and tailor the current system to fit the academy requirements. this will involve managing weekly delegate data updates and training data administration. the data analyst will also assist the business intelligence supervisor and business analyst with the routine reports and work in conjunction to develop work instructions for reports to provide increased levels of resilience from both an  operational and audit-readiness standpoint. all products should bear testimony to an extremely high standard of accuracy and presentation and the individual should be a good communicator. duties and responsibilities · ensure data systems are maintained and operationally ready for the business now and in the future · provide a supportive role to the academy business intelligence supervisor team and team leaders · assistance with the development of both internal and external reports and reporting standards · gain advanced knowledge of academy business function · must ensure all product is punctual, well-presented and prepared to a very high degree of accuracy · liaise with marketing specialist to provide targeted communications to the dealer network · maintenance and update of team processes and working instructions · assist business intelligence team in data migration into a new lms · update dealer team structure within the newly implemented lms system · manage weekly delegate data updates and administrate training data · provide continuous data cleansing processes for current data sets · liaise with peers to provide reporting for gaps in the lms system · maintain dealer data within lms by processing new alerts and changes · progress team queries raised via internal inbox · update foe lms (stars) to reflect changes in dealer structure education · a graduate it qualification or equivalent experience / skills · good understanding of business · advanced knowledge of ms excel, including formulas · previous exposure to lms or crm systems · understanding of database technologies · intermediate understanding of ms office, word, and powerpoint · analytical mindset · attention to detail · experience in report writing and presentation skills · knowledge of html, css & javascript would be an advantage · knowledge of webfocus would be an advantage"
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/44005870?source=searchResults&filter=%2fjobs%2fdata-analyst-jobs,2021-09-10,Howden Group Holdings,Salary negotiable,South East England,FULL_TIME,"data analyst at hx - we offer a great opportunity to transform the insurance industry from the inside out! hx is an exciting and fast-paced place to work, with the culture of an ambitious small business, yet delivering high-quality enterprise-grade industry-firsts into the global wholesale insurance market.  the company born in 2019, hx is the newest division of howden group holdings, the world's largest majority employee-owned insurance group. built with a blend of insurance industry specialists and technology champions from various industries, hx focuses on digital products  and data solutions including automation, business-to-business / direct-to-consumer sales, analytics and driving business value from data insight.  the position we're looking for a data analyst summary of the role a role for someone to help drive and manage the analysis of insurance data to provide greater insight. this will mean working with the key business stakeholders and it to deliver solutions that meet the business' needs.  responsibilities   help shape business strategy through an understanding of how data can be used to address current and emerging business needs  delivery of assigned projects and contribute to others and other initiatives as required  develop and maintain data, data collection systems, data analytics and other strategies that optimise statistical efficiency and quality  work with internal stakeholders and develop positive relationships with the business units in the group  act as a point of contact for client requirements, project issues and other queries  requirements   2 years' experience working as a data analyst in the insurance industry, particularly the london market  demonstrable experience managing multiple data sets tool and technologies  extensive sql and etl knowledge  a customer centric approach to problem solving and data requests  the location hx?is based in the vibrant area of the city of london. our office is just a short walk away from liverpool street station.?  what we offer   competitive salary & generous pensions   individual private medical cover via bupa   26 weeks full pay maternity leave / 4 weeks full pay paternity leave   agile working arrangements   a wide variety of wellbeing offers: employee assistance programme, cycle to work (up to £5k), digital gp services, mental wellbeing support apps   why should you apply?  if you want…   a career that you define   an access to on-the-job learning and upscale courses (e.g. chartered insurance institute course and certification)   to join the group that considers their people as its chief competitive advantage   to be a part of the place where everyone has a voice, where volunteering in the community is part of the day job, and where everyone is encouraged to play a part towards our sustainability goals.   to make a difference - not just in the workplace, but in the industry and in the wider community.   if you are passionate about fast changing working environment and challenges.   you should join us at hx!"
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/43916992?source=searchResults&filter=%2fjobs%2fdata-analyst-jobs,2021-09-03,Hays Specialist Recruitment Limited,"£25,000 - £32,000 per annum",South Humberside,FULL_TIME,"data analyst / excel skills / sql / dashboards / report writing / power bi / data fields / data tables / grads data analystsalary - £25,000 - £32,000 + benefitslocation - grimsbyyour new rolean opportunity to join an incredibly successful, £80m turnover business in grimsby to assist them in the implementation of a new erp system is available for an ambitious data analyst who wants to develop their career in a rewarding role. what you'll need to succeeddata analysts or recent graduates who have the core key skills and want to play a major role in the erp implementation project should consider this opportunity.the role will offer data analysts the following opportunities:- taking the lead on cleansing data from multiple systems to allow data transfer- creating workflows to ensure efficiency within the business- development of dashboards and more complex reporting through power bi- administration of internal systemsdata analysts or recent graduates who have the following key skills would be considered:- advanced excel skills- sql- report writing skills- ability to create dashboards- understanding and experience with power bi is desired - but not essential and training will be provided- previous analysis of data tables- ability to remove data fields from legacy systems (sword / swan)what you'll get in returnthe salary on offer ranges from £25,000 - £32,000 (depending on experience)+ benefits. please note this is a ft office based position in the organisations grimsby headquarters. what you need to do nowif you're interested in this role, click 'apply now' to forward an up-to-date copy of your cv, or call us now.if this job isn't quite right for you but you are looking for a new position, please contact us for a confidential discussion on your career. hays specialist recruitment limited acts as an employment agency for permanent recruitment and employment business for the supply of temporary workers. by applying for this job you accept the t&c's, privacy policy and disclaimers which can be found at hays.co.uk"
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/44111706?source=searchResults&filter=%2fjobs%2fdata-analyst-jobs,2021-09-20,X4 Group,Salary negotiable,South East England,"FULL_TIME, CONTRACTOR","there is a brand new opportunity for an experienced data analyst to join a leading consultancy on a 6-month remote contract. the company: driven to make a difference, solve complex problems, drive change and innovate using data science; they help organisations leap ahead in analytics by combining a diverse network of highly experienced senior leaders, entrepreneurs, data scientists and designers  while utilising state of the art tools and innovative methods. data analyst role:  -          experiment and learn by using the latest technologies in your work -          create innovative approaches for clients -          explore different industry areas with clients data analyst requirements:  -          experience working with cost, accounting data in a retailer context -          comfortable liaising directly with finance stakeholders to confirm business assumptions -          ability to communicate complex technical content to technical and non-technical teams -          excellent time and project management skills -          excellent problem solving skills and proactive approach -          able to write clean, maintainable python code in a product development team -          experience with sql / big query / gcp / github -          work with a mixed team of data analysts, scientists and engineers this will be a three-stage interview and falls outside ir35. they are looking to hire asap so do share a recent cv and we can go through the role in more detail."
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/44111705?source=searchResults&filter=%2fjobs%2fdata-analyst-jobs,2021-09-20,X4 Group,Competitive salary,South East England,"FULL_TIME, CONTRACTOR","there is a brand new opportunity for an experienced data analyst to join a leading consultancy on a 6-month remote contract. the company: driven to make a difference, solve complex problems, drive change and innovate using data science; they help organisations leap ahead in analytics by combining a diverse network of highly experienced senior leaders, entrepreneurs, data scientists and designers  while utilising state of the art tools and innovative methods. data analyst role:  -          experiment and learn by using the latest technologies in your work -          create innovative approaches for clients -          explore different industry areas with clients data analyst requirements:  -          experience working with cost, accounting data in a retailer context -          comfortable liaising directly with finance stakeholders to confirm business assumptions -          ability to communicate complex technical content to technical and non-technical teams -          excellent time and project management skills -          excellent problem solving skills and proactive approach -          able to write clean, maintainable python code in a product development team -          experience with sql / big query / gcp / github -          work with a mixed team of data analysts, scientists and engineers this will be a three-stage interview and falls outside ir35. they are looking to hire asap so do share a recent cv and we can go through the role in more detail."
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/44210248?source=searchResults&filter=%2fjobs%2fdata-analyst-jobs,2021-09-28,Brook Street,£11.27 per hour,West Midlands,"FULL_TIME, TEMPORARY","we are working with a national energy supplier who are looking to appoint three new data analysts on their industry data teamthe successful applicants, after interview, will be offered an immediate start and the role will last approximately 3 months although this could be extendedthis is a full time position that will initially be fully remote. if the role extends into the new year, there may be a requirement to travel to the office one day per week so for this reason you need to be located within an easy commute to solihullas a data analyst, you should;-have good ms excel knowledge-be able to interpret and check large data files-have good attention to detail-be able to work at pace with little/no errorsyou will also liaise with internal and external stakeholders but will not be customer facingif you are interested, please submit your cv or email me directly"
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/44227634?source=searchResults&filter=%2fjobs%2fdata-analyst-jobs,2021-09-29,Advantage Resourcing,£250.00 - £300.00 per day,South East England,"FULL_TIME, CONTRACTOR","data analyst 3 months initially, outside ir35. advantage resourcing are working closely with an established software client who are on a path to implementing new deal management and crm systems. these data analyst roles will play a crucial role in enabling the successful go live of the new systems. as part of the digital transformation our client are creating a single subscription master file within crm and the data analysts will be responsible for reviewing, cleansing and updating data on customer subscriptions from multiple sources in order to load  them into the crm at go live. your role * map the products used in crm to the actual products * include product quantities based on the original quote or data received from the clp database * cleanse the subscription data to a list of actual subscription lined (merge text fields) * check with servicenow data if the subscribed services are aligned experience we need from you * previous experience in data mapping and cleanse exercises; knowledge of how to map, cleanse, compare and combine data sets from different systems would be an advantage * strong excel skills; knowledge of excel formulas (e.g. if, match, index, etc.) * alternatively / complementary experience with using sql * confident communication skills; to align with data managers * able to coordinate the complexity and vast amount of activities done by yourself or stakeholders you are working with * proactive handling of tasks and working independently submit your cv now to be considered for this fantastic opportunity supporting our client's digital transformation. ref# 842262advantage resourcing is a service driven recruitment consultancy."
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/42648950?source=searchResults&filter=%2fjobs%2fdata-analyst-jobs,2021-07-27,Remit Resources,"£35,000 - £55,000 per annum",Lancashire,FULL_TIME,"data analysts needed for this large professional services organisation in their preston office. working as part of a core data analysis team the role will be working closely with key stakeholders in the business to provide analysis and data solutions to  support their ongoing business strategy. practically, this will involve interpreting trends, creating data models to provide insights, optimising data retrieval and developing dashboards, reports and visualisations. the right data analyst will have a proven track record working with large and disparate datasets, uncovering insights and delivering against business requirements. technically a solid understanding of sql, ssrs, powerbi is needed, any experience of python/r would be great this is an exciting time to be joining a market leader within their field, they are increasing the data team substantially and have plenty of flexibility in terms of experience and salary requirements. to discuss in detail and in confidence please contact richard morgan at remit resources"
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/43520318?source=searchResults&filter=%2fjobs%2fdata-analyst-jobs,2021-08-23,REED Education,"£35,000 - £45,000 per annum, inc benefits",South West England,FULL_TIME,"role: data analystlocation: salisbury/nationwide (wfh)salary: £35,000 - £45,000 p.a.job type: full-time permanent job descriptionour client is changing the face of project management from the inside out. there are huge untapped opportunities to exploit the rich seams of data produced by the projects they deliver. from simple dashboards to ai, automation to forensic analysis. there is  so much potential to make a difference.in december 2017 they established the project data analytics community that has since grown to over 7,500 people. they run 6 project: hack events a year and are also helping to set up 2 data trusts in the project delivery domain, which will be a world first.  our client is passionate about what they do and are helping to change multiple professions across multiple industries. they are ideally looking for an individual with teaching experience (preferably of a stem subject) or experience delivering software training. most importantly they are looking for someone who is passionate about data analytics and sharing  their experience and skills with the next generation of data analysts. ideally, the candidate would be familiar with the full spectrum of the level 4 data analyst standard, however full training will be provided to ensure you are able to deliver the material  to a sufficient level. you will work with tools and techniques including python, sql, excel, power bi, power apps, power automate, statistics, basic machine learning and data analytics. you'll need to be engaging in content delivery and have a desire to continue learning and developing your skills.our client is a fully remote business, employing staff from across the country. training is delivered remotely via ms teams, with the opportunities to meet colleagues and learners face to face via our regular hackathons and other project data analytics events. core responsibilities• level 4 project data analyst apprenticeship tutor delivering content primarily virtually, but occasionally face-to-face• embed equality and diversity, health and safety, safeguarding and british values into all aspects of the apprenticeship delivery• lead drop-in sessions to assist learners with all aspects of their apprenticeship programme• conduct progress reviews with learner’s and their line manager• marking of learner’s homework and assessments providing informative feedback• monitoring learner’s progress, lateness, and attendance• support learners in the development of a portfolio and guide them through their end point assessment skills, attitudes and behaviours• able to communicate effectively in a variety of situations, working with a range of internal and external people• ability to stay calm under the pressures of teaching• able to cater to all types of learners and maintain engagement throughout sessions• able to work independently and remotely• able to use their use own initiative experience required:• a passion for both teaching and data analytics• at least 5 years data analysis experience• teaching/training/tutoring experience in a relevant domain• experience of working with ms power platform tools, or equivalent. desired:• working knowledge of python• industry experience as a data analyst/scientist/engineer• project management experience• experience teaching/tutoring data analytics• knowledge of onefile company benefits:• up to 34 days annual leave• pension scheme• flexible working hours• ongoing training"
Data Analyst,https://www.reed.co.uk/jobs/data-analyst/44251160?source=searchResults&filter=%2fjobs%2fdata-analyst-jobs,2021-10-01,Concept Personnel,"£35,000 - £55,000 per annum",South East England,FULL_TIME,"job title: data analyst location: harmondsworth / fully remote working salary: £35k - £55kwe are currently recruiting for an experienced data analyst to join a uk based leading digital organisation. our client is on a mission to help organisations and their customers thrive in today's fast paced world. to do this they need people who want to make  a difference and will go the extra mile to deliver for their customers. they are looking to hire someone to work as part of a team of data analysts to combine customer and commercial analysis to deliver revenue and customer satisfaction improvements. the role will support the digital department to drive value for the digital business  plan. responsibilities:· proactively develops site performance analysis which delivers actionable recommendations. · drive revenue action and change that delivers the digital strategic metrics and the business plan · support the rest of the business in using adobe analytics to ensure the value driven from the tool meets the business case requirement · shared responsibility for the adobe analytics implementation using tag management technology to ensure data integrity and best practice of digital performance analysis methodologies · undertakes data mining, sourcing and extraction of data from several sources, analyses and interprets outputs and communicates clearly and effectively · responsible for monitoring and tracking cross-channel metrics and targets on an ongoing basis · responsible for product and departmental benefit tracking and evaluation for digital with key teams · measure effectiveness of digital marketing activity and digital trading tactics requirements:· strong experience in interpreting insight and data for the business to drive change · experience of modelling large volumes of complex data from different sources, including multivariate testing and integrating quantitative & qualitative data · skilled in data extraction and exploitation in both direct channel operational and commercial systems · data storytelling to communicate results and recommendations clearly to drive action · strong customer awareness, commercially astute both strategically and analytically, with ability to see application of data insights to business problems · detailed and expert knowledge of web analytics tools, e.g. adobe analytics or google analytics · data exploitation: sql, python, sas · data visualization: tableau, ms office, power bi benefits:- full remote working or hybrid working if you prefer. - flexible working hours - a competitive salary aligned to your skills and experience. - 25 days annual leave, plus bank holidays. - career progression opportunities. - a contributory pension scheme. - refer a friend bonus scheme. - new business / innovation bonus scheme. - 24/7 employee assistance programme to support with mental, physical and financial wellbeing. - regular social events. if this sounds like something you would be interested in, click ""apply"" and one of our consultants will be in touch to tell you more about the role and the company."
