job_title,job_link,employer,location,posted_at
"Electrical Engineer HV AP Training, Progression to Supervisor",https://www.reed.co.uk/jobs/electrical-engineer-hv-ap-training-progression-to-supervisor/44198914?source=searchResults&filter=%2fjobs%2ffull-time%3fsortby%3dDisplayDate%26datecreatedoffset%3dLastWeek,Rise Technical Recruitment Limited,Manchester,Posted Today 
Strategy and Planning Manager,https://www.reed.co.uk/jobs/strategy-and-planning-manager/44198913?source=searchResults&filter=%2fjobs%2ffull-time%3fsortby%3dDisplayDate%26datecreatedoffset%3dLastWeek,Hays Specialist Recruitment Limited,London,Posted Today 
12 WEEKS TO CHRISTMAS - Sales Assistant,https://www.reed.co.uk/jobs/12-weeks-to-christmas-sales-assistant/44198912?source=searchResults&filter=%2fjobs%2ffull-time%3fsortby%3dDisplayDate%26datecreatedoffset%3dLastWeek,SLS Recruitment,"Dalston, London",Posted Today 
Cleaner 10 to 15 hours,https://www.reed.co.uk/jobs/cleaner-10-to-15-hours/44198908?source=searchResults&filter=%2fjobs%2ffull-time%3fsortby%3dDisplayDate%26datecreatedoffset%3dLastWeek,Lidl GB,Heacham,Posted Today 
Import Administrator,https://www.reed.co.uk/jobs/import-administrator/44198909?source=searchResults&filter=%2fjobs%2ffull-time%3fsortby%3dDisplayDate%26datecreatedoffset%3dLastWeek,Lidl GB,London,Posted Today 
Customer Assistant 21 to 30 hours,https://www.reed.co.uk/jobs/customer-assistant-21-to-30-hours/44198910?source=searchResults&filter=%2fjobs%2ffull-time%3fsortby%3dDisplayDate%26datecreatedoffset%3dLastWeek,Lidl GB,Gorseinon,Posted Today 
Deputy Store Manager fulltime,https://www.reed.co.uk/jobs/deputy-store-manager-fulltime/44198911?source=searchResults&filter=%2fjobs%2ffull-time%3fsortby%3dDisplayDate%26datecreatedoffset%3dLastWeek,Lidl GB,"Arnold, Nottingham",Posted Today 
Customer Assistant 20 to 35 hours,https://www.reed.co.uk/jobs/customer-assistant-20-to-35-hours/44198901?source=searchResults&filter=%2fjobs%2ffull-time%3fsortby%3dDisplayDate%26datecreatedoffset%3dLastWeek,Lidl GB,Merthyr Tydfil,Posted Today 
Customer Assistant 11-20hrs/wk,https://www.reed.co.uk/jobs/customer-assistant-11-20hrs-wk/44198902?source=searchResults&filter=%2fjobs%2ffull-time%3fsortby%3dDisplayDate%26datecreatedoffset%3dLastWeek,Lidl GB,Nottingham,Posted Today 
Customer Assistant 21-30hrs/wk,https://www.reed.co.uk/jobs/customer-assistant-21-30hrs-wk/44198903?source=searchResults&filter=%2fjobs%2ffull-time%3fsortby%3dDisplayDate%26datecreatedoffset%3dLastWeek,Lidl GB,Ripley,Posted Today 
