Course Name,Module Name,Image Name,Date,Size,URL,Description,Image Title,Category,Keywords,Shutterstock Link,Shutterstock Preview Image Link
Biotechnology,Module 2- Biotechnology in the Realm of History,shutterstock_1411089155.jpg,9/24/2021 16:32:27,13403619,https://drive.google.com/file/d/1XEPlePvB5Op9U6dWhLvHpL0EeHGNJ7Gl/view?usp=drivesdk,Elderly asian woman suffering with parkinson's disease symptoms,,,,,
Biotechnology,Module 2- Biotechnology in the Realm of History,shutterstock_1919496329.jpg,9/24/2021 16:32:54,5199528,https://drive.google.com/file/d/1AXSn_-SAAIZ4AcW6c2lCjbPaRry0Vn6T/view?usp=drivesdk,Male Scientist Working on a Laptop Computer and Picking up a Half-Cut Lab-Grown Tomato in a Dish. Microbiologist Working on Molecule Samples in Modern Laboratory with Technological Equipment.,,,,,
Biotechnology,Module 2- Biotechnology in the Realm of History,shutterstock_231128206.jpg,9/24/2021 16:33:02,8688481,https://drive.google.com/file/d/1IsMU-52q8esYtrgyxT8D0YQoslW1IMUs/view?usp=drivesdk,DNA structure,,,,,
Biotechnology,Module 2- Biotechnology in the Realm of History,shutterstock_1687336846.jpg,9/24/2021 16:32:48,14883056,https://drive.google.com/file/d/1JDs8HP4j1iE2iFAVCYJw1Aco9eaS3ArH/view?usp=drivesdk,"Scientist or medical in lab coat holding test tube with reagent, mixing reagents in glass flask, glassware containing chemical liquid, laboratory research and testing of Microscope.",,,,,
Biotechnology,Module 2- Biotechnology in the Realm of History,shutterstock_117700921.jpg,9/24/2021 16:32:16,8238854,https://drive.google.com/file/d/1cEBSOp_ut2NYtNbBOx98XW6kjwicUBJ7/view?usp=drivesdk,Woman using DNA helix interface hologram,,,,,
Biotechnology,Module 2- Biotechnology in the Realm of History,shutterstock_1687113799.jpg,9/24/2021 16:32:37,13067149,https://drive.google.com/file/d/1VLRyY4OF6JCVP3HfGcLJqK47we8NRHb2/view?usp=drivesdk,"Female scientist working in modern lab. Doctor making microbiology research. Laboratory tools: microscope, test tubes, equipment. Coronavirus covid-19, bacteriology, virology, dna and health care.",,,,,
Biotechnology,Module 6- Biotechnology in Health Sector,shutterstock_1082434226.jpg,9/24/2021 16:31:06,13355582,https://drive.google.com/file/d/1UQCJvrY2G_98tjwr4IhbKGUH-OXrTAlE/view?usp=drivesdk,"Closeup portrait, young friendly scientist standing by microscope. Isolated lab background. Research and development sector. Portrait of smiling male researcher ",,,,,
Biotechnology,Module 6- Biotechnology in Health Sector,shutterstock_659631763.jpg,9/24/2021 16:31:18,5780570,https://drive.google.com/file/d/1gMZhPoV5ngMblVOOsgfpeCjvukg_xqrt/view?usp=drivesdk,DNA strand and Cancer Cell Oncology Research Concept 3D rendering ,,,,,
Biotechnology,Module 6- Biotechnology in Health Sector,shutterstock_1899544069.jpg,9/24/2021 16:31:13,6964970,https://drive.google.com/file/d/1-s9RkDDRNnQTQisdF6fpEAY4hloQGuTT/view?usp=drivesdk,"Young biologist with protective mask, gloves and glasses testing some chemicals in bottles in laboratory",,,,,
Biotechnology,Module 3- Molecular and Cellular Biology,shutterstock_1907619631.jpg,9/24/2021 16:32:03,3709758,https://drive.google.com/file/d/1aMB82h6K3XBau-qbpzUO7qYXRDp8VZT7/view?usp=drivesdk,"Messenger RNA or mRNA strand 3D rendering illustration with copy space. Genetics, science, medical research, genome replication concepts.",,,,,
