broadCategory,courseLanguage,courseLink,courseRating,courseTitle,instructorLink,instructorRating,instructorTotalCourse,lastUpdated,subcategory,subcategory1,subtitle,unitSold,
Office Productivity,English,https://www.udemy.com/course/aspnet-mvc-with-entity-framework-from-scratch/,4.5,The Complete ASP.Net Core 3.1 MVC With EF Core -Formerly 2.0,https://www.udemy.com/user/mohdmanzoorahmed/,4.4,19,4/2020,Microsoft,ASP.NET MVC,"ASP.NET Core MVC using DIs, MVVM, Identity Server For Security, EF Core With Class Design Techniques and much more..",8920,
Office Productivity,English,https://www.udemy.com/course/cworacle-11g-plsql-fundamentals-1/,4.6,Oracle 11g PL/SQL Fundamentals I,https://www.udemy.com/user/intellezy/,4.4,219,3/2017,Oracle,Pl/SQL,An introduction to the PL/SQL database programming language,3402,
Office Productivity,English,https://www.udemy.com/course/sap-sd-training/,4.5,SAP SD Training - in Plain English,https://www.udemy.com/user/sivaprasad3/,4.5,10,8/2018,SAP,SAP SD,This comprehensive SAP SD Training course will teach you everything you need to learn about SAP SD,27516,
Office Productivity,English,https://www.udemy.com/course/excel-dashboards-reports/,4.7,Visually Effective Excel Dashboards,https://www.udemy.com/user/leila-gharani/,4.7,9,9/2021,Microsoft,Excel Dashboard,Actionable Excel Tips (Templates Included) You Can Use Right Now to Create Eye-Catching Microsoft Excel Dashboards,59417,
Office Productivity,English,https://www.udemy.com/course/excel-with-excel-pivot-tables/,4.7,"Pivot Tables, Power Pivot Tables, Power Query & Power BI",https://www.udemy.com/user/john2373/,4.7,9,2/2021,Microsoft,Pivot Tables,"5 Course Excel Bundle: Microsoft Excel, Pivot Tables, Power Pivot Tables, Power Query & Power BI (Excel 2007-2019, O365)",30746,
Office Productivity,English,https://www.udemy.com/course/most-essential-popular-excel-formulas-and-functions/,4.5,Most Essential & Popular Excel Formulas And Functions - 2021,https://www.udemy.com/user/ahamed-mohideen-ahamed-mohideen-mubeen/,4.3,11,6/2021,Microsoft,Excel,"Vlookup,Excel Formulas and Functions ,Excel, advanced excel ,excel ,Basic Excel, Essential Excel, Excel Beginners,",65102,
Office Productivity,English,https://www.udemy.com/course/tables-and-formulas-with-excel/,4.5,Tables and Formulas with Excel,https://www.udemy.com/user/ianlittlejohn2/,4.6,17,2/2021,Microsoft,Excel Formulas and Functions,"Learn to use tables and create powerful formulas in Excel. Learn SumIF, Date, IF, VLOOKUP and Text formulas",5062,
Office Productivity,English,https://www.udemy.com/course/learn-staffhub/,4.4,Up and Running with Microsoft Teams,https://www.udemy.com/user/7aacd1a1-2931-40c8-8f8c-069e1575a35d/,4.4,2,7/2021,Microsoft,Microsoft Office 365,Learn how to use Microsoft Teams,11125,
Office Productivity,English,https://www.udemy.com/course/the-ultimate-microsoft-office-2010-training-bundle/,4.5,The Ultimate Microsoft Office 2010 Training Bundle 48 Hours,https://www.udemy.com/user/simonsezit/,4.5,174,9/2021,Microsoft,Microsoft Office,"The Most Convenient Way to Boost Your Confidence And Learn MS Office 2010 Inside And Out—Quickly, No Travel or Classes.",6434,
Office Productivity,English,https://www.udemy.com/course/sap-analytics-cloud-sac/,4.4,The Complete SAP Analytics Cloud Course 2021,https://www.udemy.com/user/fredrick-higgins-3/,4.4,1,6/2021,SAP,SAP,"Learn to create stories, plans, digital boardroom, analytic apps, and make predictions in SAC. Data source included.",74463,
Office Productivity,English,https://www.udemy.com/course/effectiveoutlook2010/,4.5,Effective use of Outlook 2010,https://www.udemy.com/user/businessproductivity/,4.5,15,6/2013,Microsoft,Microsoft Outlook,"Learn how to effectively use Microsoft Outlook 2010 to manage email, contacts, tasks and your calendar.",4317,
Office Productivity,English,https://www.udemy.com/course/learn-microsoft-teams/,4.1,Microsoft Teams Ultimate Course 2021,https://www.udemy.com/user/josh-werner/,4,69,6/2021,Microsoft,Microsoft Teams,Everything you need to know about Microsoft Teams,90407,
