instructorContact,instructorLink,instructorName,instructorProf,instructorTotalReview,instructorTotalStudent
"https://www.ManzoorTheTrainer.com,https://www.facebook.com/trainer.manzoor,https://www.youtube.com/ManzoorthetrainerVideos",https://www.udemy.com/user/mohdmanzoorahmed/,Manzoor Ahmed,Microsoft Certified Trainer,8514,148420
"https://www.xelplus.com,https://twitter.com/LeilaGharani,https://linkedin.com/in/leila-gharani-6b12506?trk=hp-identity-name,https://www.youtube.com/channel/UCJtUOos_MwJa_Ewii-R3cJA",https://www.udemy.com/user/leila-gharani/,Leila Gharani,"Microsoft MVP, Bestselling Instructor",70281,228026
"https://www.myexcelonline.com/blog/,https://twitter.com/myexcelonline,https://www.facebook.com/groups/myexcelonline/,https://linkedin.com/in/johnmichaloudis,https://www.youtube.com/LearnExcelPivotTable/videos",https://www.udemy.com/user/john2373/,MyExcelOnline John Michaloudis,Chief Inspirational Officer at MyExcelOnline,5336,92116
na,https://www.udemy.com/user/intellezy/,na,na,0,0
"http://www.dataskills.co,https://twitter.com/DataSkillsCo,https://www.facebook.com/DataSkillsCo,https://linkedin.com/in/ianlj",https://www.udemy.com/user/ianlittlejohn2/,Ian Littlejohn,"Excel Power Tools, Power BI and Google Data Studio Trainer",42733,133098
na,https://www.udemy.com/user/ahamed-mohideen-ahamed-mohideen-mubeen/,A.M.A.M Mubeen (Expert In Tally & Finance & Microsoft Office),"200,000+ Students | 4+ Rated | 190 + Countries",4195,211252
"http://interviewmama.com,https://linkedin.com/in/sivanalavenakta",https://www.udemy.com/user/sivaprasad3/,Siva Prasad,SAP Trainer and Consultant,27982,109558
na,https://www.udemy.com/user/fredrick-higgins-3/,Fredrick Higgins,Senior Analytics BI Consultant at Accenture,1602,105649
"http://www.businessproductivity.com,https://twitter.com/ulrikahedlund,https://www.facebook.com/businessproductivity,https://linkedin.com/in/ulrikahedlund/,https://www.youtube.com/bizproductivity",https://www.udemy.com/user/businessproductivity/,Ulrika Hedlund,Productivity Coach and Entrepreneur,13525,43425
na,https://www.udemy.com/user/josh-werner/,Learn Tech Plus,Web Development | Adobe | Google | Microsoft | Productivity,37663,1296064
"http://blenderzen.com/,https://www.youtube.com/channel/UCZfHQRVjcPiE7CCDi80T_Gg",https://www.udemy.com/user/552582df2f464/,Thomas McDonald,"3D Artist, Designer & Animator",6902,80306
"https://www.crondose.com/,https://twitter.com/jordanhudgens,https://www.facebook.com/bottegaschool,https://linkedin.com/jordan-hudgens-37442b74,https://www.youtube.com/edutechional",https://www.udemy.com/user/jordanhudgens/,Jordan Hudgens,CTO at Bottega Code School,15370,73545
"http://www.simonsezit.com,https://twitter.com/simonsezit,https://www.facebook.com/SimonSezIT,https://linkedin.com//company/simon-sez-it,https://www.youtube.com/simonsezittraining",https://www.udemy.com/user/simonsezit/,Simon Sez IT,"490,000+ Students | Wordwide Use 180 Countries |150+ Courses",57246,518826
na,https://www.udemy.com/user/7aacd1a1-2931-40c8-8f8c-069e1575a35d/,BrainTree Learning,Business Training,4639,11541
https://twitter.com/abdelfattahben,https://www.udemy.com/user/fettah/,Fettah Ben,"Microsoft ADFS, IT Manager.",7430,110455
